"","dates","AT","BE","DE","DK","ES","FI","FR","GB","GR","I8","IE","IT","PT","SE","CPP"
"1","2000-Q1",89.5509309967141,NA,NA,NA,41.2565874859302,NA,NA,NA,NA,64.8607135546723,45.6572116882118,61.7130991521024,85.495738325927,NA,74.3616548367095
"2","2000-Q2",88.0613362541073,NA,NA,NA,42.4133142378722,NA,NA,NA,NA,65.8492554912858,48.2058622160026,62.2365461152449,87.6229329059518,NA,77.0336956140877
"3","2000-Q3",86.5717415115005,NA,NA,NA,42.9916776138432,NA,NA,NA,NA,66.9298404774738,50.2599714471745,63.0879044817443,89.0507758432287,NA,78.0861417882625
"4","2000-Q4",86.3088718510405,NA,NA,NA,43.0398745618408,NA,NA,NA,NA,67.1733722495089,52.7976883807825,63.8138086174079,91.2071100750346,NA,79.7501921205988
"5","2001-Q1",90.5147864184009,NA,NA,NA,44.8231616377513,NA,NA,NA,NA,68.1152527455142,54.3679372791774,64.552690776951,92.0812996284694,NA,80.035556801063
"6","2001-Q2",86.5717415115005,NA,NA,NA,46.3654639736739,NA,NA,NA,NA,69.1718108896373,55.3175690147805,65.3711714829555,93.3051650032782,NA,81.320655182939
"7","2001-Q3",90.0766703176342,NA,NA,NA,47.3775998816231,NA,NA,NA,NA,70.3936228383187,56.4066990034993,66.7736632635404,93.5674218693086,NA,82.4245632851152
"8","2001-Q4",86.3088718510405,NA,NA,NA,47.859569361599,NA,NA,NA,NA,70.7405539468302,55.2248477432812,68.5568437445925,93.5674218693086,NA,82.3670509519389
"9","2002-Q1",89.1128148959474,NA,NA,NA,50.7031892934563,NA,NA,NA,NA,72.2836880348915,56.0096049828815,72.4900501816923,93.6548408246521,NA,83.0331603894904
"10","2002-Q2",87.6232201533406,NA,NA,NA,53.8359909132991,NA,NA,NA,NA,73.7610011980259,58.0898240635177,74.017130991521,93.8879580389014,NA,83.0563523930403
"11","2002-Q3",90.6024096385542,NA,NA,NA,55.0891115612363,NA,NA,NA,NA,75.0821128957214,60.1434136124979,74.9074234296591,93.625701172871,NA,83.4641086093937
"12","2002-Q4",88.1489594742607,NA,NA,NA,56.1494444171831,NA,NA,NA,NA,75.4174330685557,62.5172527020673,75.4628828517044,93.6839804764333,NA,83.9165452422158
"13","2003-Q1",89.6385542168675,NA,NA,NA,59.2822460370259,NA,NA,NA,NA,76.5200785097652,64.2194816045334,77.172521197439,94.1502149049319,NA,83.5338831831831
"14","2003-Q2",88.7623220153341,NA,NA,NA,63.1380018768324,NA,NA,NA,NA,77.9528690416436,66.8200618388034,78.2055718982523,94.7038682887739,NA,83.6620871169431
"15","2003-Q3",87.8860898138007,NA,NA,NA,64.8248950567478,NA,NA,NA,NA,79.2708691126757,68.386479744603,79.6556497663956,94.9952648065856,NA,84.1420289702378
"16","2003-Q4",90.1642935377875,NA,NA,NA,66.5117882366632,NA,NA,NA,NA,80.0713551339044,71.0037980575,80.149679875411,95.0535441101479,NA,84.541137526112
"17","2004-Q1",83.4173055859803,NA,NA,NA,70.1747562844794,NA,NA,NA,NA,81.1506437903561,72.4576230927837,80.9794082021111,95.1701027172725,NA,84.7123580423057
"18","2004-Q2",87.7984665936473,NA,NA,NA,74.1751029682787,NA,NA,NA,NA,82.9229542164947,74.3849358802,82.6163696141201,95.2283820208348,NA,85.627478874775
"19","2004-Q3",88.236582694414,NA,NA,NA,75.7174053042014,NA,NA,NA,NA,84.6699901698464,76.5606672112779,84.7802387956394,95.432359583303,NA,85.5917281140177
"20","2004-Q4",90.1642935377875,NA,NA,NA,77.9826618600877,NA,NA,NA,NA,85.7886804586225,77.2149210577496,86.0797715867797,95.4906388868653,NA,86.3356312633434
"21","2005-Q1",90.5147864184009,69.68,84.2,75.49,81.2118573759257,73.62,NA,76.28,NA,87.2016879766317,77.9393783383744,87.7227894099325,95.3158009761784,49.33,86.9725211896644
"22","2005-Q2",91.3910186199343,71.24,82.7,79.46,84.4892498397613,75.74,NA,78.53,NA,88.9814670910178,79.709118990926,89.3407163869182,96.8019232170175,51,88.2442982396166
"23","2005-Q3",91.4786418400876,73.78,84.4,85.56,85.8869613316912,76.97,NA,80.42,NA,90.7950656458669,83.1649398288178,91.0797715867797,98.87083849348,53,89.8101110912009
"24","2005-Q4",93.6692223439211,75.24,82,91.19,87.9112331475896,78.67,NA,80.59,NA,91.9267201805568,86.5499710406075,91.9017130991521,98.9873971006047,54.39,91.8288593902146
"25","2006-Q1",94.7207009857612,76.7,83.2,97.68,90.9958378194349,79.6,NA,81.14,88.53,93.3638315282541,87.7019113199048,92.8966949299187,99.045676404167,56.31,93.2432415925508
"26","2006-Q2",95.5093099671413,78.79,83.5,103.64,93.5984730113043,81.41,93.63,84.19,93.33,95.0529597508785,92.4641225304074,94.6963142412182,99.6576090915714,57.94,95.2514669555216
"27","2006-Q3",96.1226725082147,81.07,82.3,105.67,94.321427231268,81.98,96.58,86.81,94.26,96.6366016515981,97.4644443014351,96.4094133933206,99.6284694397902,59.49,98.6206325875274
"28","2006-Q4",95.7721796276013,81.69,83,104.58,95.9119265151882,83.23,97.37,88.47,94.12,97.488132923835,98.8480597207027,97.0583145872988,99.8615866540395,59.83,99.8937501130787
"29","2007-Q1",98.5761226725082,83.62,80,105.01,97.550622747106,85.08,98.11,89.72,97.5,98.3244962199523,100.308900186627,98.3388129434158,100.3861003861,62.15,102.227530787404
"30","2007-Q2",100.591456736035,85.28,81.7,106.41,100.336732971589,86.56,99.83,93.14,96.23,99.5182385999522,100.154450093314,99.463575012978,100.007284912945,65.96,104.219534794638
"31","2007-Q3",101.204819277108,86.9,81.6,106.58,101.41695229087,86.82,102.1,95.76,99.72,100.932710088968,100.23167513997,100.830593528292,100.706636555693,68.35,105.942914847127
"32","2007-Q4",99.6276013143483,87.24,81.6,104.58,100.695691990434,87,102.76,95.72,95.68,101.224555091127,99.3049745800888,101.367018515314,98.8999781452612,66.37,107.332517572535
"33","2008-Q1",100.328587075575,88.09,82.8,103.24,100.322695468059,87.88,102.12,93.12,98.25,101.990057613571,96.7694188815239,102.015919709292,96.4522473956436,66.56,107.475668554025
"34","2008-Q2",99.6276013143483,89.34,83.1,103.56,100.012533485295,88.65,102.42,92.52,102.03,102.402503920421,94.0021880429886,103.028205571898,94.2376338602754,67.86,106.224957239465
"35","2008-Q3",101.467688937568,90.62,81.6,100.91,98.3520973534292,87.52,102.72,88.87,103.79,102.298379541931,91.3121822511101,103.469458383803,91.2653893785969,67.37,106.086938938351
"36","2008-Q4",102.869660460022,90.12,81.8,93.04,95.2618412191238,84.19,99.23,82.97,102.8,100.749627201248,86.0093957140099,101.894791486416,92.8097909229985,63.88,103.795680736111
"37","2009-Q1",104.884994523549,88.95,81.8,87.14,92.7096893868118,86.17,95.51,78.68,103.76,99.0692777967789,79.3229937576421,102.258176155044,93.1303270925912,65.54,101.26385569924
"38","2009-Q2",105.323110624315,88.09,83.1,88.18,92.301264879336,87.53,94.16,79.74,101.68,97.8831553046717,74.4835575004826,102.145699948088,91.4985065928462,67.5,98.7363246156903
"39","2009-Q3",104.709748083242,90.15,82.9,88.88,91.4743890761485,88.85,95.68,82.83,103.67,98.0314117775502,72.4049166613038,102.301436234643,91.9064617177825,69.36,97.9790394765478
"40","2009-Q4",105.147864184009,89.3,84.2,88.55,91.1187723200484,90.7,95.95,84.47,101.86,98.0944033918145,70.3327112426797,101.635231008825,92.8389305747796,71.19,96.9355507622716
"41","2010-Q1",110.755750273823,90.28,83,89.12,89.9910928697838,92.75,96.72,84.77,100.24,97.7840575660713,67.719930497458,100.103824191037,92.6058133605303,72.35,96.275489226598
"42","2010-Q2",111.193866374589,91.12,84.3,91,91.4376241859501,93.56,98.7,86.34,101.26,98.7360128523635,65.4096145183088,100.622945146219,92.547534056968,73.24,97.8326136496514
"43","2010-Q3",111.281489594743,92.86,84.3,91.73,89.4696998815168,94.62,101.5,87.56,100.35,99.448215219549,63.7943239590707,100.969025783007,93.276025351497,74.38,98.3302546323088
"44","2010-Q4",112.858707557503,93.41,83.8,90.78,89.3841379552371,94.6,102.7,85.7,98.15,99.749614035468,60.4929532144926,100.795985464613,91.9064617177825,75.52,98.6275268844771
"45","2011-Q1",115.837897042716,94.07,86,89.91,86.2698175291654,95.84,103.34,84.11,98.06,99.5808857186751,57.4168221893301,100.709465305416,90.6243170394114,75.87,98.4924829654482
"46","2011-Q2",112.683461117196,94.93,87.1,91.94,85.2464166765542,97.55,105.37,84.8,97.91,100.011060415192,54.8040414441084,101.834227374978,87.6520725577329,76.32,100.371114472818
"47","2011-Q3",117.940854326396,96.8,86.7,88.9,82.8533565509185,97.31,107.58,85.8,NA,100.523715064421,51.193770512903,101.834227374978,87.477234647046,76.12,100.831190013265
"48","2011-Q4",118.466593647317,96.64,87.3,85.74,79.4001306824733,96.76,106.53,84.64,NA,99.4825714529463,48.6517793937834,101.142066101402,85.6414365848328,74.56,100.30521254847
"49","2012-Q1",128.280394304491,97.33,87.9,85.75,75.4422231394877,98.39,105.13,83.77,NA,98.8515170861491,47.0429242551001,100.536424987022,83.9804764333066,75.63,100.25926454295
"50","2012-Q2",130.208105147864,97.42,89.1,86.99,72.9863284742403,99.44,105.2,85.28,NA,98.6379389041352,46.0389986485617,99.7577435542481,84.7089677278357,76.43,100.134251732538
"51","2012-Q3",131.960569550931,98.52,90.4,87.26,70.2363146874065,99.36,105.88,86.23,NA,98.0994493808184,46.9656992084433,98.0273403703063,81.5618853354703,77.02,99.7289050940928
"52","2012-Q4",132.048192771084,97.72,91.6,86.85,69.2470049147974,99.63,104.35,85.43,NA,97.4528738868937,47.1201493017569,95.864336390379,79.6386683179136,77.37,99.4136968016401
"53","2013-Q1",134.501642935378,98.34,91.3,88.03,64.6848162674612,100.26,103.05,84.91,NA,96.3438796640968,45.1187335092348,94.4800138432255,79.6678079696947,78.81,99.0030548907094
"54","2013-Q2",136.692223439211,98.6,93.1,91.17,64.1988512642944,100.68,102.93,86.62,NA,96.4112574969769,46.5023489285025,93.8743727288458,79.522109710789,80.09,98.8698181348762
"55","2013-Q3",138.181818181818,99.82,92.9,91.21,64.6674365011857,100.54,103.81,88.71,NA,96.8198160837426,49.0379046270674,92.4035300224952,79.5512493625701,81.54,98.7493019600731
"56","2013-Q4",137.480832420591,98.83,93,89.95,63.8452398658416,99.93,102.66,89.22,NA,96.0438520235613,50.1898449063646,90.7596469977505,79.9592044875064,82.79,98.1733460845125
"57","2014-Q1",140.021905805038,97,93.8,91.22,63.6420302909273,100.06,101.47,90.39,NA,95.9021282477854,50.807645279619,89.8079252465825,80.3380199606615,85.15,98.418821269693
"58","2014-Q2",143.263964950712,97.67,95.7,94.69,64.7095490117765,100.47,101.72,93.67,NA,96.6609291523072,54.8040414441084,89.2022841322028,80.5128578713484,87.07,99.7249971838679
"59","2014-Q3",141.511500547645,98.96,96.2,94.21,64.8412341639413,100.03,102.44,96.65,NA,97.4921424207017,58.8004376085977,88.8562034954144,80.250601005318,89.98,100.757622176307
"60","2014-Q4",140.810514786418,99.78,96.2,93.83,64.9695770533609,99.42,100.35,96.81,NA,96.9956998787955,59.1865628418817,87.4718809482609,81.2704888176586,91.41,100.503537296898
"61","2015-Q1",145.016429353779,97.4,97.8,97.71,64.6066073192212,99.81,99.38,96.52,NA,97.1635284641918,59.4182379818521,86.60667935629,82.3486559335616,94.99,101.313282575316
"62","2015-Q2",145.366922234392,99.56,99.9,101.02,67.3044818072283,100.31,99.54,98.6,NA,98.0226357929275,61.567668447133,86.6931995154871,81.7367232461572,98.4,103.440743069768
"63","2015-Q3",147.207009857612,101.75,100.4,100.82,67.7530134676477,100.1,100.94,101.82,NA,99.1144435409295,63.0285089130575,86.8662398338813,82.0863990675311,102.26,102.822167887225
"64","2015-Q4",151.500547645126,101.29,101.8,100.45,67.7175854825475,99.78,100.14,103.05,NA,99.1254324370891,63.4146341463415,85.9145180827133,83.1937058352153,104.35,104.665953118806
"65","2016-Q1",156.757940854326,100.56,102.5,102.87,68.7002107296661,99.94,99.73,104.16,NA,99.8585065443547,63.7943239590707,85.7414777643191,84.592409120711,106.85,106.261565090866
"66","2016-Q2",159.21139101862,101.75,105.5,105.09,69.9208050842501,101.19,100.19,106.49,NA,101.057506081302,64.9526996589227,85.9145180827133,86.1076710133314,106.98,107.601494371827
"67","2016-Q3",157.721796276013,104.31,107,106.19,70.4756206999701,100.73,102.35,108.66,NA,102.426732232035,68.0996203101873,86.0010382419104,87.0401398703285,109.54,110.244420476952
"68","2016-Q4",158.42278203724,103.94,108.8,104.58,70.7543654129282,100.59,101.78,108.6,NA,102.784069522584,69.1035459167257,85.654957605122,88.5554017629489,111.15,110.0107427715
"69","2017-Q1",160.350492880613,106.04,107.4,106.61,72.3526354577312,101.57,102.39,108.79,NA,103.635218018902,70.0238110560525,85.5684374459249,89.7501274859765,113.95,109.932809940502
"70","2017-Q2",164.99452354874,105.25,109.5,110.47,73.803845941741,102.68,103.38,111.43,NA,105.04018971018,72.327691614647,85.7414777643191,92.0230203249071,116.15,113.18674234893
"71","2017-Q3",164.906900328587,108.41,110.9,110.8,75.1621415214314,102.19,106.36,114.05,NA,106.833873807367,NA,85.3088769683336,95.8403147082392,117.76,116.224153330162
